 year ,Season_week,REGION,salesChannel,Category ,ProdUct,Package-Type,diet label,unitPrice_usd,Calories(kcal),sugar_g ,Spice Index,DiscountRate ,Units Sold,DemandSEGMENT 
2023,1,North,Supermarket,Beverage,Espresso,Box,Regular,2.69,10.4,0.0,1.9,10.5%,31,Medium
2025,13,West,Supermarket,Beverage,Herbal Tea,Bowl,Low-Sugar,3.18,5.1,5.3,0.0,17.5%,33,Medium
2024,2,South,Supermarket,Beverage,Ginger Tea,Box,Gluten-Free,2.66,48.6,6.1,4.9,10.7%,55,High
2025,8,Central,Online,Food,Baked Potato,Cup,Regular,5.87,418.5,8.0,2.0,18.6%,24,Medium
2025,11,West,Supermarket,Beverage,Chai Tea,Bag,Dairy-Free,3.55,139.4,13.3,6.9,17.5%,35,Medium
2023,4,Central,Online,Food,Stuffed Pastry,Bowl,Regular,6.59,482.3,6.5,2.8,15.7%,18,Low
2025,4,North,Supermarket,Beverage,Hot Chocolate,Bowl,Regular,4.93,242.4,27.3,3.9,11.7%,62,High
2022,7,East,Cafe,Beverage,Hot Chocolate,Bag,Gluten-Free,4.7,252.1,29.5,1.7,8.7%,64,High*
2022,12,West,Supermarket,Food,Gingerbread,Bottle,Regular,4.22,403.6,33.0,5.3,14.3%,53,High
2025,3,South,Online,Food,Lentil Soup,Bowl,REGULAR,5.71,262.9,1.7,4.4,14.8%,31,Medium
2025,9,South,Convenience,Food,Beef Stew,Bowl,Regular,12.84,516.0,2.2,2.7,12.7%,3,Low
2022,6, North,Online,Beverage,Chai Tea,Box,Regular,3.24,167.5,16.0,6.4,16.4%,61,High
2024,2,Central,Cafe,Beverage,Herbal Tea,Box,Regular,3.03,5.0,0.7,0.7,5.9%,40,Medium
2024,10,West,Supermarket,Food,Pumpkin Soup,Bowl,Regular,5.41,227.0,7.9,1.7,13.7%,22,Low
2025,11,West,Convenience,Beverage,Hot Chocolate,Cup,Regular,4.75,247.5,30.2,2.1,14.2%,17,Low
2024,8,West,Online,Food,Cinnamon Cookies,Cup,Regular,4.79,409.0,34.4,2.5,18.7%,75,High
2023,3,East,Online,Beverage ,Spiced Latte,Bag,Regular,4.23,195.5,17.0,5.7,15.3%,56,High
2023,NA,East,Supermarket,Food,Baked Potato,Bag,Regular,5.19,403.6,4.5,2.3,10.8%,37,Medium
2023,6,East,Online,Food,Lentil Soup,Bag,Vegan,4.01,243.3,1.1,3.1,16.4%,36,Medium
2024,7,West,Online,Food,Lentil Soup,Cup,Regular,5.03,233.8,2.0,3.8,17.8%,45,High
2025,8,North,Cafe,Beverage,Spiced Latte,Bottle,Regular,7.07,198.3,18.3,3.3,8.9%,15,Low
2023,4,Central,Convenience,Food,Roasted Chestnuts,Box,Gluten-Free,6.52,344.8,6.9,0.4,8.9%,15,Low
2023,7,West,Online,Beverage,Mulled Wine,Box,Low-Sugar,6.16,197.6,6.7,6.4,17.5%,29,Medium
2022,4,South,Convenience,Food,Winter Salad,cup,Regular,5.17,190.0,4.4,0.8,9.3%,14,Low
2024,9,East,Convenience,Food,Cinnamon Cookies,Bowl,Regular,5.5,373.2,29.7,3.2,11.1%,33,Medium
2025,11,North,Convenience,Food,Cinnamon Cookies,Cup,Gluten-Free,5.13,431.5,32.4,1.2,12.8%,25,Medium
2022,9,Central,Cafe,Food,Winter Salad,Can,#Low-Sugar,5.44,155.6,0.0,0.8,7.8%,14,Low
2022,1,Central,Cafe,Beverage,Hot Chocolate,Cup,Regular,4.53,248.2,25.8,1.7,5.9%,16,Low
2024,13,Central,Supermarket,Food,Winter Salad,Cup,Regular,4.66,179.7,1.9,1.7,15.4%,29,Medium
2022,1,South,Cafe,Beverage,Spiced Latte,Cup,Regular,5.27,206.5,18.9,5.3,5.5%,23,Low
2025,13,North,Convenience,Food,Cinnamon Cookies,Bag,Regular,5.12,418.2,28.0,3.0,14.1%,38,meduim
2023,1,North,Online,Food,Winter Salad,Box,Low-Sugar,5.56,165.2,3.4,2.1,14.4%,22,Low
2022,7,North,Supermarket,Food,Cinnamon Cookies,Bag,Regular,3.35,444.2,35.6,2.3,13.2%,89,High
2025,2,North,Online,Food,Cinnamon Cookies,Can,Regular,4.59,419.6,35.7,3.5,14.9%,55,High
2022,2, North,Wholesale,Beverage,Herbal Tea,Bottle,Regular,2.16,29.5,0.0,0.3,18.6%,60,High
2023,9,Central,Supermarket,Beverage,Apple Cider,Bottle,Gluten-Free,4.49,176.9,22.2,3.0,14.8%,56,High
2022,10,North,Cafe,Food,Gingerbread,Bowl,*Regular,5.29,402.0,27.8,NA,7.1%,38,Medium
2022,2,North,Convenience,Beverage,Ginger Tea,Bottle,Gluten-Free,3.51,5.0,3.3,4.4,8.5%,43,High
2022,13,Central,Wholesale,Beverage,Chai Tea,Box,Regular,3.54,160.1,13.8,6.9,25.6%,80,High
2022,5,East,Online,Beverage,Apple Cider,box,Regular,3.87,151.8,24.7,3.9,16.8%,95,High
2022,5,West,Convenience,Beverage,Sahlep,Box,Regular,4.25,292.9,25.3,3.3,8.0%,13,Low
2022,4,West,Convenience,Beverage,Hot Chocolate,Cup,Regular,3.63,222.5,26.4,2.0,8.4%,60,High
2024,6,Central,Online,Beverage,Mulled Wine,Can,Dairy-Free,6.42,161.1,16.3,6.0,18.1%,26,Medium
2024,3,West,Cafe,Beverage,Hot Chocolate,Cup,Regular,5.22,275.6,23.1,2.4,8.3%,43,High
2023,6,East,Supermarket,Beverage,Hot Chocolate,Cup,Regular,3.28,222.8,26.3,1.5,13.9%,60,High
2023,3,West,Cafe,Beverage,Mulled Wine,Bowl,Regular,8.16,210.6,14.2,5.5,6.9%,12,Low
2024,1,East,Supermarket,Food,Pumpkin Soup,Can,Regular,5.74,222.1,9.2,3.8,10.5%,28,Medium
2025,5,South,Online,Beverage,Herbal Tea,Bowl,Regular,2.96,5.0,0.6,1.0,15.7%,48,High
2025,9,East,Online,Beverage,Apple Cider,Cup,Vegan,4.49,154.4,20.6,3.5,19.5%,44,High
2022,10,North,Online,Food,Roasted Chestnuts,Bag,Regular,4.05,316.6,6.6,1.1,16.9%,27,Medium
2022,NA,West,Online,Beverage,Matcha Latte,Bag,Regular,4.52,179.8,14.0,3.1,15.4%,34,Medium
2022,5,South ,Cafe,Beverage,Espresso,Can,Regular,2.44,5.0,1.4,0.9,6.3%,28,Medium
2023,11,North,Supermarket,Food,Gingerbread,Box,Regular,4.7,382.9,30.3,5.3,16.7%,38,Medium
2024,9,South,Online,Beverage,*Matcha Latte,Cup,NA,5.78,196.7,13.4,0.8,18.1%,83,High
2023,11,Central,Cafe,Beverage,Espresso,Box,Regular,3.27,9.6,1.1,1.2,10.2%,63,High
2022,12,South,Cafe,Beverage,Herbal Tea,Box,Regular,2.16,5.0,2.8,1.5,10.5%,26,Medium
2023,11,West,Supermarket,Food,Stuffed Pastry,Box,Vegan,6.35,471.2,4.5,2.6,13.2%,27,Medium
2024,13,Central,Wholesale,Food,Lentil Soup,Box,Vegan,5.06,252.1,3.7,4.1,22.7%,68,High
2022,6,North,Supermarket,Beverage,Apple Cider,Can,Low-Sugar,3.5,137.4,14.7,4.5,12.2%,56,High
2025,6,West,Convenience,Food,Cinnamon Cookies,Box,Regular,5.53,433.4,29.6,3.1,8.5%,30,Medium
2022,5,South,Online,Food,Pumpkin Soup,Bowl,Regular,5.63,217.0,13.0,4.3,15.9%,32,Medium
2025,4,North,Cafe,Food,Beef Stew,Cup,Vegan,13.86,483.4,0.0,3.9,6.2%,1,Low
2022,10,West,Wholesale,Food,Winter Salad,Cup,Regular,4.28,213.3,5.2,2.1,23.5%,42,High
2025,10,Central,Convenience,Beverage,Herbal Tea,BOX,Regular,2.78,9.7,0.0,0.9,12.6%,39,Medium 
2025,11,South,Supermarket,Beverage,Ginger Tea,Bowl,Regular,2.96,33.5,10.8,4.6,12.9%,58,High
2025,3,East,Cafe,Beverage,Ginger Tea,Can,Gluten-Free,3.06,27.7,4.8,6.0,6.2%,28,*Medium
2025,7,South,Supermarket,Beverage,Mulled Wine,Bag,Regular,6.75,211.2,14.9,6.5,15.2%,9,Low
2025,3,East,CAFE,Food,Baked Potato,Bowl,Regular,8.1,400.6,3.2,3.4,5.9%,10,Low
2024,12,West,NA,Food,Creamy Porridge,Bottle,regular,6.13,282.2,10.2,2.3,11.3%,14,Low
2025,4,West,Wholesale,Food,Cinnamon Cookies,Bottle,Regular,4.75,407.8,31.3,4.0,19.9%,56,High
2022,2,West,Supermarket,Food,Lentil Soup,Bowl,Regular,4.28,283.9,3.7,4.4,11.3%,69,High
2024,8,North,Online,Food,Pumpkin Soup,Box,Regular,5.53,235.0,1.2,3.7,18.1%,35,Medium
2024,12,West,Supermarket,Food,Cinnamon Cookies,Bowl,Regular,5.18,415.4,32.1,1.6,14.7%,40,Medium
2025,12,West,Online,Food,Creamy Porridge,Can,Low-Sugar,5.13,NA,5.5,1.6,19.7%,14,Low
NA,2,West,Online,Food,Stuffed Pastry,Bowl,Gluten-Free,6.5,483.5,8.2,1.6,14.9%,15,Low
2023,5,North,Supermarket,Beverage,Sahlep,Bowl,Regular,4.61,275.2,26.9,2.6,12.2%,37,Medium
2024,2,East,Cafe,Beverage,Spiced Latte,Box,Dairy-Free,7.07,198.6,16.1,4.8,5.5%,27,Medium
2023,5,East,Online,Beverage,Mulled Wine,Cup,Regular,6.47,195.9,17.8,6.3,17.3%,15,Low
2022,7,North,Online,Beverage,Spiced Latte,Box,Gluten-Free,4.43,195.0,15.2,4.7,18.4%,93,High
2023,4,South,Online,Beverage,Spiced Latte,Can,Regular,5.25,210.1,19.7,5.5,15.2%,41,Medium
2023,1,East,Convenience,Food,Stuffed Pastry,Cup,Regular,6.69,475.6,4.7,0.1,7.4%,11,Low
2022,7,West,Cafe,Beverage,Spiced Latte ,Bowl,Regular,5.81,179.6,15.4,4.9,8.0%,30,Medium
2023,1,South,Online,Food,Winter Salad,Bowl,Regular,4.96,176.6,5.6,1.8,14.3%,25,Medium
2023,3,Central,*Online,Food,Cinnamon Cookies,Can,Regular,4.33,414.5,35.1,3.9,14.5%,27,Medium
2023,1,East,Supermarket,Food,Pumpkin Soup,Box,Regular,5.45,238.5,9.4,4.0,10.4%,22,Low
2023,2,West,Supermarket#,Food,Beef Stew,Cup,Regular,8.62,486.8,6.3,4.4,10.8%,13,Low
2024,6,East,Supermarket,Food,Cinnamon Cookies,Cup,Regular,4.22,413.1,30.4,2.7,11.4%,34,NA
2023,12,East,Supermarket,Beverage,Spiced Latte,Bottle,Regular,6.1,201.3,20.3,4.8,15.9%,57,High
2025,11,West,Wholesale,Beverage,Spiced Latte,Bottle,*Dairy-Free,5.53,218.9,15.1,5.2,25.0%,66,High
2025,2,Central,Supermarket,Beverage,Chai Tea,Bowl,Regular,4.07,139.2,14.5,6.5,11.2%,30,Medium@
2023,1,East,Cafe,Beverage,Herbal Tea,Box,Low-Sugar,2.65,41.5,1.0,0.5,5.4%,15,Low
2023,5,East,Online,Beverage,Apple Cider,Bowl,Regular,4.74,171.9,23.5,3.4,14.9%,30,Medium
2024,9,West,Wholesale,Food,Stuffed Pastry,Cup,Regular,6.01,462.6,6.6,1.2,23.1%,31,Medium
2025,10,West,Wholesale,Beverage,Sahlep,Bottle,Regular,5.35,284.3,22.4,2.9,22.8%,44,High
2024,11,North,Cafe,Beverage,Sahlep,Cup,Regular,5.84,273.6,25.9,2.5,10.8%,14,Low
2025,5,#East,Supermarket,Food,#Lentil Soup,Bowl,Regular,6.29,275.5,7.8,3.7,13.8%,26,Medium
2024,3,East,Online,Food,Cinnamon Cookies,Cup,Low-Sugar,4.39,362.4,16.3,2.2,15.0%,63,High
2024,1,Central,Convenience,Beverage,Chai Tea,Can,Regular,4.03,125.2,10.0,6.9,7.0%,21,Low
2023,2,East,Cafe,Beverage,Espresso,Box,Vegan,3.34,13.1,1.3,1.7,5.6%,19,Low
2024,1,East,Online,Beverage,Spiced Latte,Bowl,Regular,6.13,232.1,17.3,4.0,14.5%,35,Medium
2022,12,Central,Supermarket,Beverage,Herbal Tea,Cup,Regular,2.11,5.0,0.7,0.1,15.6%,63,High
2024,4,East,Supermarket,Food,Stuffed Pastry,Bottle,Regular,6.32,494.7,7.2,2.7,11.1%,23,Low
2025,11,North,Convenience,Beverage,Chai Tea,Bowl,Dairy-Free,5.0,131.9,11.9,5.5,9.7%,18,Low
2022,8,North,Cafe,Food,Roasted Chestnuts,Can,Regular,4.85,306.1,6.4,1.6,8.3%,21,Low
2024,8,North,Cafe,Foood,Creamy Porridge,Cup,Regular,4.8,256.0,9.8,2.5,7.2%,20,Low
2022,6,North,Cafe,Beverage,Hot Chocolate,Box,Regular,4.91,212.5,31.2,3.1,8.2%,22,Low
2024,11,East,Online,Food,Pumpkin Soup,Can,Regular,5.33,219.6,9.1,4.0,18.4%,26,Medium
2022,1,West,Supermarket,Beverage,Hot Chocolate,Can,Dairy-Free,3.57,229.2,23.0,2.5,10.4%,61,High
2025,2,West,Online,Food,Lentil Soup,Cup,Low-Sugar,6.13,250.6,0.0,5.6,14.7%,33,Medium
2022,6,North,Convenience,Beverage,Espresso,Bottle,Vegan,3.29,5.0,0.5,0.0,10.0%,28,Medium
2025,6,East,Supermarket,Beverage,Sahlep,Bottle,Dairy-Free,5.63,248.9,19.6,2.2,12.8%,51,High
2025,8,North,Supermarket,Beverage,Herbal Tea,Cup,Vegan,3.5,5.0,0.0,1.6,13.9%,48,High
2024,10,Central,Online,Beverage,Sahlep,Bowl,Regular,5.33,280.6,25.4,2.3,18.9%,27,Medium
2025,8,North,Online,Beverage,Sahlep,Can,Regular,5.01,284.2,25.5,3.4,17.6%,47,High
2025,4,West,Supermarket,Beverage,Herbal Tea,Box,Regular,2.63,5.0,0.2,1.0,11.2%,110,High
2025,5,South,Online,Beverage,Hot Chocolate,Bag,Regular,3.8,256.2,28.6,2.1,15.7%,48,High
2023,10,West,Online,Beverage,Apple Cider,Cup,Regular,4.14,148.8,22.4,3.6,18.0%,39,Medium
2024,3,East,Cafe,Food,Lentil Soup,Cup,Regular,5.44,244.3,5.3,3.6,7.3%,31,Medium
2022,7,West,Supermarket,Food,Creamy Porridge,Box,Dairy-Free,4.01,287.8,10.5,1.0,11.8%,38,Medium
2024,8,South,Supermarket,Food,Lentil Soup,Bag,Dairy-Free,4.87,268.9,0.0,4.2,13.2%,93,High
2022,10,Central,Supermarket,Food,Stuffed Pastry,Box,Regular,5.2,467.6,5.5,1.5,14.8%,30,Medium
2024,10,East,Convenience,Food,Creamy Porridge!,Cup,Vegan,5.19,288.2,10.6,2.1,11.1%,12,Low
2024,7,West,Supermarket,Food,Lentil Soup,Cup,Regular,5.71,276.7,3.1,4.5,14.4%,46,High
2023,5,Central,Cafe,Beverage,Hot Chocolate,Cup,Regular,5.23,278.6,28.1,2.8,7.1%,20,Low
2024,5,Central,Wholesale,Food,Winter Salad,Box,Regular,4.7,183.8,7.7,0.2,20.1%,33,Medium
2025,6,NA,Cafe ,Beverage,Mulled Wine,Bowl,Regular,9.0,212.2,16.2,4.8,8.5%,11,Low!
2025,3,South,Supermarket,Food ,Gingerbread,Can,Regular,4.42,408.6,33.3,5.6,12.2%,48,High
2024,9,South,Cafe,Beverage,Hot Chocolate,Bowl,Regular,5.86,229.1,30.5,4.0,11.1%,31,meduim
2024,3,South,Supermarket,Food,Beef Stew,Cup,Regular,9.72,520.5,2.7,4.1,11.3%,12,Low
2025,9,East,Supermarket,Food,Cinnamon Cookies,Bowl,Regular,4.27,396.9,31.6,2.2,14.1%,50,High
2022,10,Central,Supermarket,Food,Baked Potato,Cup,Low-Sugar,5.23,373.5,0.0,2.6,14.7%,40,Medium
2022,13,Central,Supermarket,Beverage,Herbal Tea,BOWL,Regular,2.31,5.0,0.3,1.5,16.3%,28,Medium
2022,2,East,Online,Food ,Creamy Porridge,Box,Regular,4.48,302.7,7.0,0.4,14.7%,20,Low
2024,10,West,Supermarket,Beverage,Apple Cider,Bowl,Regular,NA,146.5,22.5,4.8,16.1%,34,Medium
2023,2,Central,Online,Food,Lentil Soup,Bottle,Regular,5.03,254.8,4.3,3.9,15.0%,46,High
2025,5,Central,Supermarket,Beverage,Herbal Tea,#Box,Regular,3.24,19.6,2.5,0.9,12.3%,51,High
2024,3,North,Supermarket,Food,Beef Stew,Bowl,Regular,10.59,517.8,6.1,3.2,10.8%,8,Low
2023,3,East,wholesale,Beverage,Mulled Wine,Cup,Regular,5.76,156.4,15.9,6.8,19.4%,24,Medium
2025,3,Central,Online,Food,Gingerbread,Cup,Regular,5.04,376.6,35.0,5.1,14.5%,48,High
2025,1,South,Cafe,Food,Cinnamon Cookies,Bowl,Vegan,6.75,380.1,30.9,1.4,5.4%,8,Low
2023,11,East,Supermarket,FOOD,Beef Stew,Cup,Regular,8.62,524.4,0.1,3.4,14.1%,19,Low
2023,1,Central,Online,Food,Stuffed Pastry,Cup,Regular,5.77,479.1,4.8,0.6,14.5%,23,Low
2023,6,Central,Online,Food,Gingerbread,Cup,Regular,4.13,394.6,29.2,5.4,18.5%,70,High
2022,10,Central,Online,Beverage,Spiced Latte,Cup,Regular,4.3,195.8,19.3,5.6,19.5%,39,Medium
2022,13,West,Online,Food,Gingerbread,Can,Regular,4.48,394.4,27.9,6.0,22.9%,43,High
2025,12,South,Online,Food, Beef Stew,Bowl,Regular,11.47,511.5,2.3,3.9,20.7%,8,Low
2023,2, South,Supermarket,Beverage,Apple Cider,Cup,Regular,3.94,139.5,21.6,4.2,11.3%,26,Medium
2023,13,East,Supermarket,Food,Roasted Chestnuts,Bowl,Regular,5.85,353.4,6.0,2.9,19.7%,23,Low
2024,9,East,Online,Food,Roasted Chestnuts,Cup,Regular,5.45,354.7,8.8,0.8,17.1%,28,Medium
2024,3,East,Online,Beverage,Ginger Tea,Cup,Regular,3.08,52.1,7.4,5.8,15.0%,55,High
2025,6,West,Online,Beverage,Spiced Latte,Cup,Regular,5.78,199.0,20.6,4.5,17.4%,26,Medium
2025,12,East,Supermarket,Beverage,Spiced Latte,Box,Regular,5.62,231.2,17.3,5.5,15.5%,35,Medium
2023,6,West,Supermarket,Food,Roasted Chestnuts,Bag,Gluten-Free,5.09,331.1,9.5,1.2,13.0%,22,Low
2023,3,South,Supermarket,Beverage,Espresso,Can,Low-Sugar,3.06,16.4,0.0,2.4,11.3%,35,Medium
2025,12,South,Online,Food,Baked Potato,Cup,Dairy-Free,6.3,384.4,0.6,1.9,18.4%,33,Medium
2024,13,North,Online,Beverage,Hot Chocolate,Cup,Regular,3.98,236.0,25.3,3.0,23.2%,60,high
2025,13,North,Wholesale,Beverage,Apple Cider,Cup,Regular,3.57,116.4,22.0,4.2,21.8%,36,Medium
2022,13,Central,Online,Beverage,Sahlep,Box,Regular,4.59,274.6,26.6,2.5,21.4%,34,Medium
2025,12,East,Online,Food,Winter Salad,Cup,Regular,6.11,181.6,4.7,1.4,20.5%,22,Low
2024,6,South,Online,Food,Beef Stew,Bag,Regular,9.12,512.6,2.0,3.4,15.3%,20,Low
2022,3,West,Wholesale,Beverage,Herbal Tea,Bowl,Regular,1.25,41.6,0.5,1.2,19.0%,225,High
2024,9,East,Cafe,Beverage,Mulled Wine,Can,Regular,7.39,169.1,17.3,5.9,8.2%,11,Low
2024,3,North,Cafe,Beverage,Herbal Tea,Box,Regular,3.15,5.0,0.0,0.5,6.6%,88,High
2022,7,South,Wholesale,Beverage,Apple Cider,Cup,Regular,3.14,143.7,20.8,3.6,20.8%,55,High
2023,9,North,Online,Beverage,Mulled Wine,Box,Regular,6.39,179.9,13.0,4.8,18.0%,9,Low
2025,13,West,Wholesale,Food,beef stew,Cup,Low-Sugar,9.78,497.0,0.4,3.8,21.1%,7,Low
2023,4,South,Online,Food,Cinnamon Cookies,Box,Regular,4.61,446.6,34.6,1.7,17.3%,34,Medium
2023,4,North,Cafe,Food,Baked Potato,Can,Regular,6.48,397.4,4.2,2.1,6.9%,34,Medium
2023,10,North,Supermarket,Food,Creamy Porridge,Cup,Dairy-Free,4.61,284.6,7.6,1.9,15.4%,52,High
2023,1,East,Supermarket,Food,Cinnamon Cookies,Box,Regular,4.18,399.2,34.7,3.2,10.4%,23,Low
2025,8,North,Wholesale,Beverage,Herbal Tea,Cup,Regular,2.48,33.5,0.0,0.0,20.9%,76,High
2025,10,Central,Online,Beverage,Ginger Tea,Cup,Vegan,3.43,54.1,8.8,5.4,21.6%,110,High
2022,8,North,Wholesale,Beverage,Espresso,Box,Regular,1.67,5.0,3.3,1.5,19.3%,162,High
2025,5,West,Supermarket,Food,Stuffed Pastry,Can,Regular,6.46,444.9,6.1,2.0,12.5%,17,Low
2025,11,East,Cafe,Beverage,Spiced Latte,Box,Gluten-Free,7.51,186.5,14.3,5.7,8.0%,10,Low
2023,5,East,Wholesale,Beverage,Espresso,Bowl,Vegan,3.01,7.9,5.2,0.6,20.0%,37,Medium
2025,10,North,Online,*Beverage,Hot Chocolate,Bowl,Gluten-Free,5.43,249.9,28.3,0.6,17.6%,77,High
2022,7,West,Wholesale,Beverage,Apple Cider,Cup,Dairy-Free ,3.03,116.4,19.5,4.4,20.2%,69,High
2025,1,Central,Supermarket,Beverage,Ginger Tea,Cup,Regular,2.54,29.2,8.1,5.1,10.5%,44,High
2024,7,North,Cafe,Beverage,Hot Chocolate,Bag,Vegan,4.98,261.9,28.1,0.8,5.5%,54,High
2024,1,North,Online,Beverage,Mulled Wine,Cup,Regular,6.66,186.1,18.9,5.9,14.4%,28,Medium
2022,13,Central,Supermarket,Beverage,Sahlep,Can,Regular,3.79,306.8,22.5,3.4,15.8%,37,NA
2025,8,East,Cafe,Food,Winter Salad,Cup,Vegan,6.83,186.3,6.4,0.1,7.0%,19,LOW
2022,5,North,Supermarket,Food,Roasted Chestnuts,Cup,Vegan,4.51,310.3,4.0,2.8,13.5%,40,Medium
2023,7,NORTH,Online,Food,Creamy Porridge,Bowl,Low-Sugar,4.2,279.9,7.0,0.8,16.6%,37,Medium
2022,9,West,Online,Beverage,NA,Box,Regular,2.34,137.7,13.9,6.6,17.8%,37,Medium
2025,4,West,Convenience,Beverage,Apple Cider,Box,Regular,4.78,142.9,22.6,2.9,8.5%,9,Low
2022,4,East,Online,Beverage,Matcha Latte,Box,Regular,5.76,162.5,13.7,2.0,15.8%,9,Low
2025,6,Central,Cafe,Food,Roasted Chestnuts,Cup,Regular,7.65,367.1,6.4,1.1,9.0%,21,Low
2024,4,East,Wholesale,Food,Roasted Chestnuts,Can,Vegan,4.71,312.2,4.7,0.2,21.4%,33,Medium
2022,10,South,Online,Beverage,Ginger Tea,Cup,Gluten-Free,2.7,54.4,7.6,7.5,19.8%,124,High
2022,2,East,Online,Food,Beef Stew,Box,Regular,8.47,512.1,6.3,2.9,15.3%,8,Low
2022,11,South,Cafe,Beverage,Espresso,Cup,Regular,2.14,5.0,0.0,0.9,13.0%,75,High
2024,5,South,Online ,Food,Cinnamon Cookies,Bowl,Regular,4.37,430.1,33.2,3.3,16.5%,31,Medium
2025,8,North,Supermarket,Beverage,Herbal Tea,Cup,Regular,2.39,5.0,2.0,2.3,15.6%,51,High
2022,3,South,Cafe,Beverage,Ginger Tea,Box,Regular,2.85,45.2,6.0,6.3,6.8%,56,High
2025,6,West,Supermarket,Beverage,Mulled Wine,Box,Low-Sugar,7.38,138.0,5.4,5.2,12.9%,28,Medium
2022,10,North,Supermarket,Food,Stuffed Pastry,Box,Regular,5.71,477.9,3.1,2.1,15.2%,30,Medium
2025,4,East,Cafe,Beverage,Herbal Tea,Cup,Dairy-Free,3.15,5.0,0.0,0.0,5.7%,35,Medium
2025,2,West,Supermarket,Beverage,Chai Tea,Bag,Regular,3.7,135.9,9.3,7.1,11.0%,23,Low
2025,7,West,Online,Beverage,Apple Cider,Cup,Vegan,4.34,170.6,24.0,2.7,15.6%,42,High
2024,3,West,Supermarket,Beverage,Chai Tea,Cup,Regular,3.28,151.2,14.8,5.9,10.6%,51,High
2025,5,West,Convenience,Food,Beef Stew,Cup,Vegan,11.41,481.0,2.8,3.2,9.5%,4,Low
2022,6,West,Cafe,Beverage,Apple Cider,Cup,Regular,4.48,138.9,17.2,4.1,6.7%,11,NA
2022,8,North,Supermarket,Food,Lentil Soup,Bowl,Vegan,4.95,239.8,0.0,3.8,13.7%,33,Medium
2022,9,East,Supermarket,Food,Roasted Chestnuts,Cup,Low-Sugar,4.16,316.2,3.8,2.3,14.3%,64,High
2024,9,West,Online,Beverage,Chai Tea,Bottle,Regular,4.07,103.4,18.3,7.0,18.4%,55,High
2024,11,South,Online,Beverage,Apple Cider,Bowl,Regular,3.98,159.8,20.5,4.3,17.5%,37,Medium
2024,1,North,ONLINE,Food,Lentil Soup,Box,Regular,5.97,265.6,5.9,3.1,14.6%,16,Low
2025,5,South,Wholesale,Food,Baked Potato,Bowl, Vegan,6.28,392.6,2.7,3.5,20.2%,26,Medium
2022,1,East,NA,Food,Pumpkin Soup,Bowl,Regular,5.53,229.5,9.1,2.9,14.5%,24,Medium
2024,1,East,Convenience,Food,Gingerbread,Cup,Regular,5.62,394.0,32.7,6.8,7.3%,9,Low
2022,3,North, Online,Beverage,Matcha Latte,Box,Regular,4.61,170.3,13.2,3.4,15.3%,42,High
2023,8,Central,Supermarket,Food,Cinnamon Cookies,Cup,Regular,4.03,385.1,30.5,3.0,15.0%,68,High
2024,12,Central,Supermarket,Beverage,Chai Tea,Cup#,Gluten-Free,4.24,142.4,16.8,7.2,17.3%,48,High
2025,11,North,Supermarket,Food,Gingerbread,Cup,Vegan,5.46,361.1,28.6,3.4,13.7%,31,Medium
2024,9,Central,Convenience,Food,Creamy Porridge,Bowl,Vegan,5.87,290.3,11.9,1.3,10.4%,18,Low
2022,11,North,Wholesale,Beverage,Apple Cider,Bottle,Vegan,3.24,163.8,19.4,4.6,21.4%,70,High
2024,3,Central,Convenience,Food,Stuffed Pastry,Bowl,Low-Sugar,7.81,457.9,6.4,2.6,8.1%,9,Low
2022,11,Central,Online,Food,Beef Stew,Bottle,Regular,9.08,519.3,3.6,2.3,16.7%,9,Low
2025,12,North,Cafe,Beverage,Chai Tea,Can,Dairy-Free,5.1,144.4,13.8,6.3,10.3%,26,Medium
2024,2,West,Online,Beverage,Ginger Tea,Can,Regular,2.94,9.0,6.3,3.7,15.1%,119,High
2022,7,Central,Convenience,Beverage,Matcha Latte,Cup,Regular,5.38,184.4,12.9,2.3,9.4%,22,Low
2022,11,Central,Supermarket,Food,Beef Stew,Bottle,Vegan,9.43,503.3,2.8,1.9,14.9%,7,Low
2022,7,Central,Supermarket,Beverage,Ginger Tea,Bowl,Regular,2.69,57.1,5.0,6.3,13.0%,127,High
2025,11,East,Online,Beverage,Espresso,Can,Regular,2.81,5.0,2.3,2.0,20.9%,62,H1gh
2023,13,North,Online,Beverage,Ginger Tea,Cup,Regular,3.06,30.7,5.6,5.2,18.8%,97,High
2025,7,Central,Online,Food,Roasted Chestnuts,Bowl,Regular,6.29,359.1,3.7,1.6,16.6%,65,High
2024,1,West,Convenience,Food,Stuffed Pastry,Cup,Low-Sugar,7.13,430.7,0.0,1.8,7.3%,7,Low
2024,5,West,NA,Food,Lentil Soup,Cup,Regular,5.93,240.0,0.2,4.2,8.4%,21,Low
2022,3,East,Wholesale,Food,Lentil Soup,Cup,Regular,3.88,305.9,5.4,3.2,19.6%,44,High
2025,7,East,Online,Beverage,Mulled Wine,Can,Regular,6.3,170.6,13.5,6.4,17.1%,22,Low
2023,8,North,Supermarket,Food,Beef Stew*,Cup,Regular,9.3,518.8,3.7,2.1,13.8%,17,Low
2024,7,NA,Online,Food,Beef Stew,Bowl,Regular,10.85,526.2,3.3,1.9,18.6%,10,Low
2024,3,North,Supermarket,Food,Pumpkin Soup,Cup,Regular,5.09,224.8,8.9,3.4,12.0%,43,High
